Health System ,1,"2,3,5, 6,7,8,9,13,14,17,18,22,25,26,29,31","1,2, 5, 9,17,18,22,25","1,7,17,18,22",7,,1,"2,3,4,7, 13,14,18,21,29","2,3,4,8,9,15,22,29,31"
Health literacy,,"20,22","20,22","20,22",,,,,22
Education & Training institute,,"14,22",22,22,,,,,"15,22"
Workforce Management ,1,"4,9","1,8",,1,,1,4,
Supervision,1,"3, 4,6,8, 9, 14,15, 20,22,26, 29,31","1,2, 9,14, 19, 20,22","17, 19, 20,22",1,,1,"2,3,4,8, 14,19,29","2,3,4,8,9,15,19,22,29,31"
Priority Setting ,,"5,6,19",19,,,,,,19
Strategy ,1,"3,4, 5,6,7,8,17,19, 20,22,25,26,29, 31,","17,19, 20,22,25","7,19,22",7,,,"3,4,7, 21,29","3,4,19,29, 31"
Intersectoral collaboration,1,"6, 19,22","19,22",,6,,,,
Public-private partnership,,"9,22",22,,,,,,
Community Engagement ,,"22,26","13,22,25","13, 17, 18,22","1, 6, 13",,,13,
External Aid ,,13,22,,,,,,
